Time;ID;x;y;z;radius;volume_total;radius_nuclear;contact_ECM;freezer;polarized_fraction;motility;cell_line;Cell_cell;phase;Cycle;NFkB
640;0;-62.5597;-14.4585;-95.4922;8.18298;2295.21;4.96658;0;0;0.1;0.01;0;2.3595;1;0;-1-1;-1
640;1;-43.2487;-36.7221;-105.18;9.72054;3847.33;5.95721;0;0;0.1;0.01;0;1.89989;0;0;-1-1;-1
640;2;-44.8506;-18.0356;-106.4;8.20401;2312.96;4.97064;0;0;0.1;0.01;0;1.38251;1;0;-1-1;-1
640;3;-38.3604;0.071193;-101.038;8.66648;2726.57;5.33808;0;0;0.1;0.01;0;3.74346;0;0;-1-1;-1
640;4;-50.8252;26.5339;-94.6431;9.79853;3940.68;6.00174;0;0;0.1;0.01;0;3.80597;0;0;-1-1;-1
640;5;-32.8773;-46.0513;-98.4137;8.72378;2781.01;5.35251;0;0;0.1;0.01;0;4.66673;0;0;-1-1;-1
640;6;-15.1878;-25.5455;-106.738;8.46005;2536.34;5.17413;0;0;0.1;0.01;0;3.39968;0;0;-1-1;-1
640;7;-24.7662;6.12899;-99.14;8.48077;2555.02;5.19804;0;0;0.1;0.01;0;5.78082;0;0;-1-1;-1
640;8;-14.4552;16.5007;-100.169;8.6858;2744.84;5.32975;0;0;0.1;0.01;0;5.69992;0;0;-1-1;-1
640;9;-24.1808;40.1377;-106.376;8.55616;2623.77;5.24619;0;0;0.1;0.01;0;2.75802;0;0;-1-1;-1
640;10;-8.67782;-53.3639;-100.691;8.14903;2266.77;4.96259;0;0;0.1;0.01;0;2.93869;1;0;-1-1;-1
640;11;-12.7159;-40.3976;-107.449;8.92076;2973.68;5.47667;0;0;0.1;0.01;0;3.42153;0;0;-1-1;-1
640;12;-2.95421;-8.43018;-104.404;8.65088;2711.88;5.30582;0;0;0.1;0.01;0;4.04989;0;0;-1-1;-1
640;13;-1.97167;6.35498;-96.9209;10.1346;4360.25;6.18315;0;0;0.1;0.01;0;5.52112;0;0;-1-1;-1
640;14;-4.19445;26.766;-93.5795;10.1533;4384.37;6.1892;0;0;0.1;0.01;0;6.28503;0;0;-1-1;-1
640;15;-10.9793;41.8834;-97.687;9.42576;3507.83;5.79426;0;0;0.1;0.01;0;5.13593;0;0;-1-1;-1
640;16;7.04068;-37.8829;-100.707;9.84333;3994.99;6.03142;0;0;0.1;0.01;0;5.2303;0;0;-1-1;-1
640;17;5.76453;-22.2612;-95.992;9.95016;4126.47;6.09391;0;0;0.1;0.01;0;6.89084;0;0;-1-1;-1
640;18;21.2608;-0.15018;-113.441;8.30585;2400.16;5.05372;0;0;0.1;0.01;0;1.73121;0;0;-1-1;-1
640;19;15.8624;11.8567;-102.377;8.46497;2540.77;5.1782;0;0;0.1;0.01;0;3.83742;0;0;-1-1;-1
640;20;17.6501;34.8707;-87.8962;8.56507;2631.98;5.23779;0;0;0.1;0.01;0;7.36742;0;0;-1-1;-1
640;21;23.0597;52.207;-97.1395;8.16354;2278.9;4.95572;0;0;0.1;0.01;0;3.54685;1;0;-1-1;-1
640;22;33.8851;-55.219;-99.6951;9.16711;3226.9;5.64321;0;0;0.1;0.01;0;2.75399;0;0;-1-1;-1
640;23;22.7626;-43.664;-101.906;9.93032;4101.83;6.07502;0;0;0.1;0.01;0;4.29602;0;0;-1-1;-1
640;24;33.7965;-13.8622;-98.5607;8.28085;2378.55;5.02789;0;0;0.1;0.01;0;4.30877;0;0;-1-1;-1
640;25;28.0794;7.46658;-94.196;8.43375;2512.76;5.1523;0;0;0.1;0.01;0;6.06935;0;0;-1-1;-1
640;26;30.9585;18.308;-103.711;8.63889;2700.61;5.31058;0;0;0.1;0.01;0;4.48451;0;0;-1-1;-1
640;27;25.465;33.475;-101.312;9.63678;3748.74;5.90636;0;0;0.1;0.01;0;4.33005;0;0;-1-1;-1
640;28;53.8201;-43.4668;-88.5616;9.82603;3973.95;6.02796;0;0;0.1;0.01;0;3.78879;0;0;-1-1;-1
640;29;46.544;-20.7816;-95.6095;8.1936;2304.16;4.96815;0;0;0.1;0.01;0;2.61989;1;0;-1-1;-1
640;30;59.5769;-12.6659;-90.7908;10.1346;4360.27;6.18408;0;0;0.1;0.01;0;4.93303;0;0;-1-1;-1
640;31;43.2987;13.2311;-93.2284;10.1995;4444.55;6.21418;0;0;0.1;0.01;0;7.00842;0;0;-1-1;-1
640;32;42.669;28.5213;-84.4447;10.0284;4224.53;6.12462;0;0;0.1;0.01;0;7.07414;0;0;-1-1;-1
640;33;-81.6825;-28.7699;-85.2965;9.15799;3217.28;5.62459;0;0;0.1;0.01;0;1.27434;0;0;-1-1;-1
640;34;-74.5399;-50.0165;-69.9124;9.77856;3916.63;5.99056;0;0;0.1;0.01;0;2.66166;0;0;-1-1;-1
640;35;-67.4515;-24.7505;-79.4576;9.06467;3119.93;5.56062;0;0;0.1;0.01;0;4.94059;0;0;-1-1;-1
640;36;-75.5722;-6.94595;-90.508;8.18575;2297.54;4.96302;0;0;0.1;0.01;0;2.38306;1;0;-1-1;-1
640;37;-72.9221;-0.283972;-78.55;8.14989;2267.49;4.9429;0;0;0.1;0.01;0;3.75068;1;0;-1-1;-1
640;38;-64.4219;23.9868;-87.2345;8.36261;2449.71;5.10232;0;0;0.1;0.01;0;3.39639;0;0;-1-1;-1
640;39;-67.149;59.9637;-67.0553;9.3505;3424.47;5.71701;0;0;0.1;0.01;0;3.70913;0;0;-1-1;-1
640;40;-42.13;-51.4493;-73.8965;8.75649;2812.41;5.37322;0;0;0.1;0.01;0;6.77097;0;0;-1-1;-1
640;41;-48.1849;-38.4986;-80.0275;9.14228;3200.76;5.61802;0;0;0.1;0.01;0;5.23944;0;0;-1-1;-1
640;42;-52.1932;-20.6006;-85.2555;10.2723;4540.32;6.24418;0;0;0.1;0.01;0;5.44456;0;0;-1-1;-1
640;43;-42.4477;-5.1243;-87.3238;8.17027;2284.54;4.9636;0;0;0.1;0.01;0;6.89345;1;0;-1-1;-1
640;44;-57.7075;12.5027;-93.3655;8.28018;2377.98;5.03287;0;0;0.1;0.01;0;3.37798;0;0;-1-1;-1
640;45;-46.3942;39.7132;-83.2117;9.22166;3284.85;5.6889;0;0;0.1;0.01;0;4.95807;0;0;-1-1;-1
640;46;-55.119;67.2505;-87.1382;8.20631;2314.9;4.97055;0;0;0.1;0.01;0;1.40144;1;0;-1-1;-1
640;47;-29.0789;-83.1165;-81.9738;8.55533;2623.01;5.26113;0;0;0.1;0.01;0;2.16386;0;0;-1-1;-1
640;48;-30.8706;-42.073;-84.6913;8.16417;2279.42;4.9566;0;0;0.1;0.01;0;5.58098;1;0;-1-1;-1
640;49;-21.779;-31.2104;-88.5937;8.54601;2614.44;5.23528;0;0;0.1;0.01;0;7.14059;0;0;-1-1;-1
640;50;-28.6535;-6.20471;-92.1198;8.18657;2298.23;4.97148;0;0;0.1;0.01;0;7.27121;1;0;-1-1;-1
640;51;-33.3718;17.3607;-78.6574;8.92709;2980.01;5.48386;0;0;0.1;0.01;0;6.75216;0;0;-1-1;-1
640;52;-37.6602;36.7474;-98.2462;9.92066;4089.88;6.07172;0;0;0.1;0.01;0;4.38521;0;0;-1-1;-1
640;53;-34.0933;48.8797;-87.9878;9.08656;3142.58;5.60262;0;0;0.1;0.01;0;5.47647;0;0;-1-1;-1
640;54;-35.3988;74.5676;-87.7952;9.45851;3544.52;5.82401;0;0;0.1;0.01;0;3.28784;0;0;-1-1;-1
640;55;-14.077;-87.4761;-78.8147;9.5322;3628.01;5.87313;0;0;0.1;0.01;0;2.57885;0;0;-1-1;-1
640;56;-18.2118;-65.8598;-82.6362;8.28976;2386.24;5.0353;0;0;0.1;0.01;0;2.97134;0;0;-1-1;-1
640;57;-18.6233;-43.9905;-94.2362;8.56273;2629.82;5.23794;0;0;0.1;0.01;0;6.33242;0;0;-1-1;-1
640;58;-9.88521;-25.0141;-81.6598;9.02548;3079.64;5.54817;0;0;0.1;0.01;0;7.70081;0;0;-1-1;-1
640;59;-17.6649;-12.4665;-84.8989;8.95561;3008.66;5.50782;0;0;0.1;0.01;0;7.65547;0;0;-1-1;-1
640;60;-16.0392;28.9092;-83.2449;8.55373;2621.53;5.24784;0;0;0.1;0.01;0;6.48093;0;0;-1-1;-1
640;61;-20.3786;42.3678;-86.0244;8.68658;2745.58;5.34073;0;0;0.1;0.01;0;6.17394;0;0;-1-1;-1
640;62;-22.8648;72.3872;-78.3426;9.42905;3511.5;5.80589;0;0;0.1;0.01;0;4.59278;0;0;-1-1;-1
640;1632;41.902;44.3622;-45.134;9.13557;3193.71;5.63223;0;0;0.1;0.01;0;8.18006;0;0;-1-1;-1
640;64;-0.18928;-44.5478;-82.7895;3.565;189.787;2.68483;0;0;4.96781e-06;0.01;0;5.99823;100;0;-1-1;-1
640;65;0.735856;-21.5227;-69.3742;10.2361;4492.58;6.22584;0;0;0.1;0.01;0;8.351;0;0;-1-1;-1
640;66;9.16915;-6.15881;-94.8033;9.71539;3841.22;5.95955;0;0;0.1;0.01;0;5.79363;0;0;-1-1;-1
640;67;-9.90711;14.982;-86.0009;8.17052;2284.74;4.96305;0;0;0.1;0.01;0;6.71261;1;0;-1-1;-1
640;68;-3.60678;30.5565;-77.3563;8.229;2334.16;4.9842;0;0;0.1;0.01;0;6.71427;1;0;-1-1;-1
640;69;-8.34806;51.6925;-83.7179;9.06726;3122.6;5.56515;0;0;0.1;0.01;0;6.09228;0;0;-1-1;-1
640;70;9.357;77.0958;-80.7693;9.71052;3835.45;5.98507;0;0;0.1;0.01;0;3.72667;0;0;-1-1;-1
640;71;14.499;-81.9334;-81.7086;8.92898;2981.91;5.51144;0;0;0.1;0.01;0;1.42019;0;0;-1-1;-1
640;72;26.377;-57.3582;-69.8797;8.3982;2481.12;5.12324;0;0;0.1;0.01;0;7.12048;0;0;-1-1;-1
640;73;18.8342;-41.2174;-73.3147;10.2304;4485.1;6.22908;0;0;0.1;0.01;0;8.05143;0;0;-1-1;-1
640;74;12.0982;-19.9274;-82.2065;8.32298;2415.04;5.07044;0;0;0.1;0.01;0;7.44057;0;0;-1-1;-1
640;75;22.1258;9.99966;-81.7787;9.04476;3099.42;5.5609;0;0;0.1;0.01;0;6.24032;0;0;-1-1;-1
640;76;8.25832;25.7035;-83.4332;8.52263;2593.05;5.2261;0;0;0.1;0.01;0;6.79285;0;0;-1-1;-1
640;77;14.3834;48.5225;-83.6752;8.63196;2694.12;5.2963;0;0;0.1;0.01;0;6.8596;0;0;-1-1;-1
640;78;12.1492;62.5533;-90.5959;10.0637;4269.31;6.13986;0;0;0.1;0.01;0;5.24385;0;0;-1-1;-1
640;79;37.9709;-71.0705;-79.657;8.31573;2408.74;5.06872;0;0;0.1;0.01;0;2.44575;0;0;-1-1;-1
640;80;43.0769;-57.7028;-86.7891;9.72743;3855.52;5.96872;0;0;0.1;0.01;0;4.75854;0;0;-1-1;-1
640;81;25.7128;-22.7345;-79.5955;8.25487;2356.24;5.00657;0;0;0.1;0.01;0;6.55451;0;0;-1-1;-1
640;82;34.8208;-11.0956;-83.1402;9.30504;3374.76;5.72528;0;0;0.1;0.01;0;7.15041;0;0;-1-1;-1
640;83;31.0537;1.16954;-74.3303;9.47571;3563.89;5.83467;0;0;0.1;0.01;0;8.02799;0;0;-1-1;-1
640;84;45.0049;26.8452;-67.0638;9.8933;4056.14;6.05071;0;0;0.1;0.01;0;7.83515;0;0;-1-1;-1
640;85;40.3128;49.601;-76.7467;8.29627;2391.86;5.04403;0;0;0.1;0.01;0;6.4831;0;0;-1-1;-1
640;86;51.8688;-67.527;-74.3813;9.38812;3465.97;5.80105;0;0;0.1;0.01;0;3.28304;0;0;-1-1;-1
640;87;57.2244;-38.1224;-72.4296;8.63563;2697.56;5.30224;0;0;0.1;0.01;0;6.48868;0;0;-1-1;-1
640;88;57.7082;-27.3619;-83.2089;9.6923;3813.9;5.96082;0;0;0.1;0.01;0;5.01167;0;0;-1-1;-1
640;89;47.2621;2.35948;-81.7208;8.20943;2317.54;4.98238;0;0;0.1;0.01;0;6.46058;1;0;-1-1;-1
640;90;57.8957;24.3901;-92.4001;10.2776;4547.35;6.23707;0;0;0.1;0.01;0;3.9616;0;0;-1-1;-1
640;91;57.8051;33.1705;-76.5546;10.1429;4370.97;6.18434;0;0;0.1;0.01;0;7.14264;0;0;-1-1;-1
640;92;55.6645;59.4662;-85.0449;8.20195;2311.21;4.97448;0;0;0.1;0.01;0;2.77738;1;0;-1-1;-1
640;93;73.8542;-18.9957;-82.9286;9.97364;4155.75;6.09147;0;0;0.1;0.01;0;3.86619;0;0;-1-1;-1
640;94;71.1638;-3.29437;-86.3722;8.39835;2481.25;5.12295;0;0;0.1;0.01;0;3.48281;0;0;-1-1;-1
640;95;65.7068;5.38187;-75.1677;9.50312;3594.9;5.83662;0;0;0.1;0.01;0;5.99748;0;0;-1-1;-1
640;96;-85.3898;-9.31015;-50.9846;9.52367;3618.27;5.85407;0;0;0.1;0.01;0;6.75217;0;0;-1-1;-1
640;97;-86.4348;24.8436;-49.8767;2.96507;109.193;2.6735;0;0;2.9042e-11;0.01;0;5.17122;100;0;-1-1;-1
640;98;-82.3187;-57.5151;-55.8194;9.98583;4171.01;6.09713;0;0;0.1;0.01;0;2.66243;0;0;-1-1;-1
640;99;-69.1919;-33.1067;-51.0891;8.5112;2582.62;5.2229;0;0;0.1;0.01;0;6.14502;0;0;-1-1;-1
640;100;-67.742;-15.3241;-68.3297;8.35212;2440.5;5.0975;0;0;0.1;0.01;0;5.86326;0;0;-1-1;-1
640;101;-73.0763;1.10274;-51.1032;9.4045;3484.14;5.79664;0;0;0.1;0.01;0;7.60605;0;0;-1-1;-1
640;102;-81.3916;22.5575;-58.142;8.37666;2462.07;5.11722;0;0;0.1;0.01;0;4.79104;0;0;-1-1;-1
640;103;-87.3881;24.7803;-75.1797;8.17885;2291.74;4.96455;0;0;0.1;0.01;0;0.969371;1;0;-1-1;-1
640;104;-61.3396;-85.0814;-49.8914;9.54366;3641.1;5.86844;0;0;0.1;0.01;0;3.9741;0;0;-1-1;-1
640;105;-66.8981;-44.2929;-58.5999;8.34584;2435;5.08707;0;0;0.1;0.01;0;5.72032;0;0;-1-1;-1
640;106;-55.8169;-15.3063;-58.96;8.28153;2379.14;5.03623;0;0;0.1;0.01;0;5.9105;0;0;-1-1;-1
640;107;-55.5838;-7.77548;-73.1792;9.60092;3707.04;5.86886;0;0;0.1;0.01;0;6.26292;0;0;-1-1;-1
640;108;-54.6193;8.4239;-71.2546;9.60608;3713.02;5.89259;0;0;0.1;0.01;0;7.57088;0;0;-1-1;-1
640;109;-71.3369;44.6979;-71.1467;8.16705;2281.83;4.95529;0;0;0.1;0.01;0;3.656;1;0;-1-1;-1
640;110;-51.251;62.3609;-63.3073;9.60159;3707.81;5.89353;0;0;0.1;0.01;0;7.12906;0;0;-1-1;-1
640;111;-64.5246;65.4393;-51.4316;10.0229;4217.65;6.12842;0;0;0.1;0.01;0;5.76621;0;0;-1-1;-1
640;112;-45.8222;-76.2694;-69.1223;9.51662;3610.25;5.85288;0;0;0.1;0.01;0;3.98989;0;0;-1-1;-1
640;113;-38.6364;-63.0707;-65.162;8.9542;3007.24;5.50583;0;0;0.1;0.01;0;7.11533;0;0;-1-1;-1
640;114;-33.7073;-49.5391;-60.9138;9.1519;3210.87;5.62083;0;0;0.1;0.01;0;7.03196;0;0;-1-1;-1
640;115;-41.655;-6.85821;-52.6389;10.2662;4532.27;6.23411;0;0;0.1;0.01;0;8.79082;0;0;-1-1;-1
640;116;-40.6431;4.02435;-75.6771;8.70853;2766.45;5.333;0;0;0.1;0.01;0;8.11575;0;0;-1-1;-1
640;117;-37.0109;18.9595;-53.8245;10.2525;4514.21;6.23248;0;0;0.1;0.01;0;8.67231;0;0;-1-1;-1
640;118;-37.2241;33.8773;-62.6776;8.49128;2564.53;5.18858;0;0;0.1;0.01;0;5.93582;0;0;-1-1;-1
640;119;-42.0561;52.574;-73.6875;9.89439;4057.48;6.05941;0;0;0.1;0.01;0;6.84388;0;0;-1-1;-1
640;120;-44.2182;82.8797;-78.851;8.14579;2264.07;4.95301;0;0;0.1;0.01;0;3.1193;1;0;-1-1;-1
640;121;-26.9238;-92.7896;-70.0052;9.18384;3244.6;5.653;0;0;0.1;0.01;0;2.27357;0;0;-1-1;-1
640;122;-22.9331;-67.0033;-59.5055;9.06968;3125.1;5.59387;0;0;0.1;0.01;0;7.99962;0;0;-1-1;-1
640;123;-17.5724;-46.5724;-71.6464;9.77634;3913.97;5.98043;0;0;0.1;0.01;0;7.88723;0;0;-1-1;-1
640;124;-22.1664;-30.0498;-73.7594;9.62759;3738.02;5.91794;0;0;0.1;0.01;0;7.50509;0;0;-1-1;-1
640;125;-17.9717;-5.78068;-72.4654;8.50179;2574.06;5.19805;0;0;0.1;0.01;0;7.03453;0;0;-1-1;-1
640;126;-10.3477;6.51364;-72.8612;9.17202;3232.09;5.63796;0;0;0.1;0.01;0;7.48736;0;0;-1-1;-1
640;127;-28.8213;24.3735;-67.2872;8.29734;2392.79;5.04666;0;0;0.1;0.01;0;6.30693;0;0;-1-1;-1
640;128;-29.5742;44.0375;-74.8936;8.22145;2327.74;4.9803;0;0;0.1;0.01;0;6.33892;1;0;-1-1;-1
640;129;-28.2804;57.8665;-73.5274;8.15994;2275.88;4.95786;0;0;0.1;0.01;0;6.82124;1;0;-1-1;-1
640;130;-30.5249;86.4878;-78.3263;8.6594;2719.89;5.28968;0;0;0.1;0.01;0;3.34145;0;0;-1-1;-1
640;131;-1.3303;-81.6984;-55.0589;1.86028;26.9664;1.82905;0;0;1.07611e-19;0.01;0;7.23719;100;0;-1-1;-1
640;132;-9.50632;-77.4131;-54.0455;8.70943;2767.31;5.35189;0;0;0.1;0.01;0;6.90494;0;0;-1-1;-1
640;133;-6.39921;-45.6878;-57.8613;9.42373;3505.56;5.78955;0;0;0.1;0.01;0;8.89406;0;0;-1-1;-1
640;134;6.65615;-34.4602;-60.8059;9.6034;3709.91;5.89785;0;0;0.1;0.01;0;8.04571;0;0;-1-1;-1
640;135;-7.61632;-29.7968;-55.7818;8.3685;2454.89;5.09726;0;0;0.1;0.01;0;7.46851;0;0;-1-1;-1
640;136;-4.24832;-7.19408;-71.3966;8.19587;2306.07;4.97308;0;0;0.1;0.01;0;6.65004;1;0;-1-1;-1
640;2116;-21.1023;10.6689;71.8221;8.22982;2334.86;4.98386;0;0;0.1;0.01;0;6.39175;0;0;-1-1;-1
640;138;-13.9689;48.9235;-59.0173;8.15766;2273.97;4.95075;0;0;0.1;0.01;0;7.29449;1;0;-1-1;-1
640;139;-21.1996;49.7115;-64.9847;2.5726;71.3188;2.40896;0;0;1.71434e-13;0.01;0;5.5223;100;0;-1-1;-1
640;140;-10.1161;84.5776;-52.4915;3.01434;114.727;2.497;0;0;1.11866e-07;0.01;0;4.92104;100;0;-1-1;-1
640;141;0.507032;-81.8432;-75.0473;8.69914;2757.51;5.33581;0;0;0.1;0.01;0;3.3948;0;0;-1-1;-1
640;142;2.63006;-66.2639;-73.205;9.73819;3868.33;5.96338;0;0;0.1;0.01;0;5.45245;0;0;-1-1;-1
640;143;19.4566;-50.4931;-59.804;8.19062;2301.65;4.95864;0;0;0.1;0.01;0;7.59374;1;0;-1-1;-1
640;144;22.6735;-36.0558;-58.5063;9.01345;3067.34;5.52761;0;0;0.1;0.01;0;8.06069;0;0;-1-1;-1
640;145;9.77315;-9.67902;-72.8714;9.09715;3153.58;5.61268;0;0;0.1;0.01;0;7.68944;0;0;-1-1;-1
640;146;2.53155;4.07381;-67.464;8.56523;2632.12;5.25699;0;0;0.1;0.01;0;7.12749;0;0;-1-1;-1
