simulated time	num cells	num division	num death	wall time	oxygen	tnf
0	1137	1137	0	0.0731816	18999	274.461
40	1227	90	0	112.626	3.72461e-06	5.52144
80	1245	18	0	97.7942	7.13136e-16	0.0391915
120	1263	18	0	98.2714	1.34144e-25	0.00826491
160	1286	23	0	97.8616	2.43747e-35	0.00170276
200	1320	34	0	97.4711	4.14683e-45	0.000449154
240	1361	41	0	97.6309	6.50198e-55	3.94692e-06
280	1414	53	0	97.9925	9.35314e-65	1.61634e-08
320	1464	50	0	97.3827	1.22473e-74	6.6191e-11
360	1525	61	0	98.6493	1.47141e-84	2.71056e-13
400	1616	91	0	98.7736	1.60106e-94	1.10997e-15
440	1701	93	8	98.8457	1.5694e-104	4.54524e-18
480	1807	121	15	101.268	1.38266e-114	1.8612e-20
520	1944	156	19	100.225	1.08518e-124	7.6212e-23
560	2045	113	12	102.029	7.42248e-135	3.12064e-25
600	2117	81	9	115.983	4.43174e-145	341.647
640	2215	102	4	103.451	2.29344e-155	1.40399
680	2304	91	2	103.959	1.06179e-165	0.0200977
720	2320	16	0	103.704	4.77249e-176	0.00693129
760	2331	17	6	104.194	1.94465e-186	0.00220919
800	2359	32	4	105.006	6.86252e-197	0.0006339
840	2419	63	3	104.113	2.1105e-207	0.000209202
880	2498	90	11	104.444	5.58176e-218	2.07336e-05
920	2579	85	4	107.026	1.27707e-228	8.48778e-08
960	2678	108	9	105.439	2.52879e-239	3.47459e-10
1000	2784	114	8	107.736	4.31553e-250	1.42233e-12
1040	2929	175	30	108.36	6.21705e-261	5.82222e-15
1080	3078	173	24	108.115	7.56506e-272	2.38321e-17
1120	3310	241	9	111.646	7.58936e-283	9.75488e-20
1160	3577	280	13	113.923	6.05714e-294	3.9927e-22
1200	3776	206	7	129.423	0	86.414
1240	3918	152	10	116.958	0	0.367743
1280	4047	133	4	116.513	0	0.0220319
1320	4112	68	3	117.491	0	0.00536509
1360	4133	32	11	119.892	0	0.000760366
1400	4146	20	7	118.312	0	3.05863e-05
1440	4209	70	7	119.607	0	1.25153e-07
1440.02	4215	6	0	0.724579	0	1.2481e-07
